Predicted_Probability,Predicted_Class,True_Label
0.015417703427374363,0.0,0.0
0.007173739839345217,0.0,0.0
0.9999803900718689,1.0,1.0
0.9235385060310364,1.0,1.0
0.6130259037017822,1.0,0.0
0.9741124510765076,1.0,1.0
0.4361182749271393,0.0,1.0
0.8124091029167175,1.0,1.0
0.9999611377716064,1.0,1.0
0.9993802905082703,1.0,1.0
0.9999852180480957,1.0,1.0
0.9999411106109619,1.0,1.0
0.9999576807022095,1.0,1.0
0.9886196255683899,1.0,1.0
0.999976396560669,1.0,1.0
0.999836266040802,1.0,1.0
0.9997501373291016,1.0,1.0
0.9990129470825195,1.0,1.0
0.0037883990444242954,0.0,0.0
0.007194325793534517,0.0,0.0
0.9912811517715454,1.0,1.0
0.9972664713859558,1.0,1.0
0.13368982076644897,0.0,0.0
0.9971730709075928,1.0,1.0
0.8834601044654846,1.0,1.0
0.007694318424910307,0.0,0.0
0.007677370682358742,0.0,0.0
0.9958744645118713,1.0,1.0
0.9999686479568481,1.0,1.0
0.011410967446863651,0.0,0.0
0.0084287840873003,0.0,0.0
0.9771854281425476,1.0,1.0
0.03519807383418083,0.0,0.0
0.007686188910156488,0.0,0.0
0.014591584913432598,0.0,0.0
0.9667513966560364,1.0,1.0
0.9817275404930115,1.0,1.0
0.007739213760942221,0.0,0.0
0.011832006275653839,0.0,0.0
0.9880015850067139,1.0,1.0
0.03493765369057655,0.0,0.0
0.004624614492058754,0.0,0.0
0.9945417046546936,1.0,1.0
0.9993466734886169,1.0,1.0
0.006967852357774973,0.0,0.0
0.011388370767235756,0.0,0.0
0.016869056969881058,0.0,0.0
0.9144222140312195,1.0,1.0
0.9675183296203613,1.0,1.0
0.9996249079704285,1.0,1.0
0.02447792887687683,0.0,0.0
0.011045432649552822,0.0,0.0
0.9902938008308411,1.0,1.0
0.004570819437503815,0.0,0.0
0.007694118190556765,0.0,0.0
0.0141950948163867,0.0,0.0
0.9991283416748047,1.0,1.0
0.004166028928011656,0.0,0.0
0.028397217392921448,0.0,0.0
0.02897569164633751,0.0,0.0
0.9993228316307068,1.0,1.0
0.0067235371097922325,0.0,0.0
0.9994634389877319,1.0,0.0
0.8927242159843445,1.0,1.0
0.9656170606613159,1.0,1.0
0.01856759376823902,0.0,0.0
0.9800108075141907,1.0,1.0
0.009686431847512722,0.0,0.0
0.009686431847512722,0.0,0.0
0.9993026852607727,1.0,1.0
0.9998247623443604,1.0,1.0
0.9993311762809753,1.0,1.0
0.9998875260353088,1.0,1.0
0.028974080458283424,0.0,0.0
0.049980685114860535,0.0,0.0
0.017524978145956993,0.0,0.0
0.012485284358263016,0.0,0.0
0.01308660302311182,0.0,0.0
0.9826428294181824,1.0,1.0
0.017928902059793472,0.0,0.0
0.9756659865379333,1.0,1.0
0.010204930789768696,0.0,0.0
0.9889336228370667,1.0,1.0
0.0078104957938194275,0.0,0.0
0.8899445533752441,1.0,1.0
0.005084661766886711,0.0,0.0
0.9846320152282715,1.0,1.0
0.996902346611023,1.0,1.0
0.014475519768893719,0.0,0.0
0.021787196397781372,0.0,0.0
0.006437242496758699,0.0,0.0
0.01617349684238434,0.0,0.0
0.9993178248405457,1.0,1.0
0.038006819784641266,0.0,0.0
0.9999695420265198,1.0,1.0
0.0076093655079603195,0.0,0.0
0.9999179244041443,1.0,1.0
0.9710104465484619,1.0,1.0
0.009959971532225609,0.0,0.0
0.9467208981513977,1.0,1.0
0.012477243319153786,0.0,0.0
0.6795110702514648,1.0,1.0
0.9701429605484009,1.0,1.0
0.01716730184853077,0.0,0.0
